ref,location,subject,back_word_1,back_word_2,back_word_3,title
04ba683b,5812,bcaa,964,508,1303,1
04ba683b,6142,bcaa,2334,1512,1990,1
04ba683b,6419,bcaa,0,1134,2712,1
04ba683b,6486,bcaa,1093,99,1,1
050d03c0,61,cafein,2334,1954,1166,1
050d03c0,832,cafein,0,0,1,1
050d03c0,1221,cafein,0,0,1,1
050d03c0,1485,cafein,2978,2148,326,1
050d03c0,1899,cafein,1054,2278,2222,1
050d03c0,2063,cafein,0,0,1,1
050d03c0,2359,cafein,0,0,1,1
050d03c0,2673,cafein,2138,1953,888,1
050d03c0,3074,cafein,671,2901,2222,1
050d03c0,3417,cafein,809,2222,3211,1
050d03c0,4201,cafein,1569,2973,783,1
050d03c0,4312,cafein,3281,2334,902,1
050d03c0,5418,cafein,2138,2957,2803,1
050d03c0,5823,cafein,esponsável,207,890,1
050d03c0,6059,cafein,1093,1070,2222,1
050d03c0,6134,cafein,2010,890,417,1
050d03c0,6631,cafein,2027,3176,2415,1
050d03c0,6819,cafein,2294,1102,1093,1
050d03c0,7803,cafein,1462,2369,2455,1
050d03c0,8362,cafein,0,ico,880,1
050d03c0,8714,cafein,1102,880,2987,1
050d03c0,9091,cafein,sávio,2182,890,1
050d03c0,9623,cafein,428,1054,784,1
050d03c0,9990,cafein,drigo,2395,2350,1
050d03c0,10426,cafein,208,1719,880,1
050d03c0,11195,cafein,elzenszwalb,1813,1101,1
050d03c0,11628,cafein,193,361,880,1
050d03c0,12007,cafein,0,macronutrientes,1093,1
050d03c0,12304,cafein,3109,1981,antônio,1
050d03c0,12728,cafein,0,ção,890,1
050d03c0,13115,cafein,c,1102,880,1
050d03c0,13270,cafein,istiane,sakata,rioko,1
050d03c0,13304,cafein,2334,2222,3129,1
050d03c0,13810,cafein,1510,2524,3267,1
050dddb7,2331,kit,1093,810,1848,1
050dddb7,2428,kit,0,1,819,1
051fa7c5,5,kit,0,0,1268,1
051fa7c5,7,kit,0,0,1842,1
051fa7c5,22,glutamin,0,1842,comboscombokit,1
051fa7c5,25,glutamin,0,0,1841,1
051fa7c5,35,glutamin,1841,810,3176,1
051fa7c5,81,glutamin,2715,g,3176,1
051fa7c5,106,glutamin,890,glutamine,3156,1
051fa7c5,158,glutamin,0,361,g,1
051fa7c5,238,kit,1579,2334,3087,1
051fa7c5,268,glutamin,1841,810,3176,1
051fa7c5,314,glutamin,2715,g,3176,1
0591bba1,19,tempero,0,g,2989,1
0591bba1,37,tempero,2989,3031,1093,1
0591bba1,923,tempero,887,2821,215,1
0591bba1,1235,tempero,2309,651,1,1
0591bba1,1690,tempero,975,2449,1815,1
0591bba1,3518,tempero,1735,2146,1093,1
0591bba1,3650,tempero,1,2856,2168,1
0591bba1,3798,tempero,strializados,2786,1134,1
0591bba1,4151,tempero,1,3236,890,1
0591bba1,4491,tempero,0,0,628,1
0591bba1,4560,tempero,2138,2957,2803,1
0591bba1,4609,tempero,0,0,528,1
0591bba1,4631,tempero,528,3030,2821,1
0591bba1,4659,tempero,2222,3030,2821,1
0591bba1,4682,tempero,pepper,3030,2821,1
0591bba1,4791,tempero,247,281,3234,1
0591bba1,5134,tempero,1696,1954,1106,1
0591bba1,5847,tempero,2222,2087,890,1
0591bba1,5925,tempero,3268,3206,2222,1
0591bba1,13416,tempero,1144,940,2222,1
0591bba1,13468,tempero,owth,1093,29,1
05bf55b0,14,monohidratada,0,0,836,1
05bf55b0,34,creatina,g,2989,1990,1
05bf55b0,43,monohidratada,mentos,1990,2126,1
05bf55b0,577,creatina,431,116,1093,1
05bf55b0,1628,creatina,0,efícios,880,1
05bf55b0,1922,creatina,ganismo,2304,880,1
05bf55b0,2241,creatina,0,3140,1,1
05bf55b0,2475,creatina,0,tar,890,1
05bf55b0,2899,creatina,0,428,880,1
05bf55b0,2908,monohidratada,428,880,836,1
05bf55b0,3018,creatina,0,uscular,1,1
05bf55b0,3027,monohidratada,0,1,836,1
05bf55b0,3444,creatina,1188,2294,2904,1
05bf55b0,3730,creatina,2013,1,1390,1
05bf55b0,3763,monohidratada,0,0,eatina,1
05bf55b0,3919,creatina,0,671,3093,1
05bf55b0,3928,monohidratada,671,3093,836,1
05bf55b0,4107,creatina,515,1249,2644,1
05bf55b0,4251,creatina,1962,890,2817,1
05bf55b0,4776,creatina,671,2817,3152,1
05bf55b0,4785,monohidratada,2817,3152,2930,1
05bf55b0,5134,creatina,1633,1134,2957,1
05bf55b0,5143,monohidratada,1,1004,1,1
05bf55b0,5608,creatina,tante,1181,718,1
05bf55b0,5720,creatina,0,2304,2628,1
05bf55b0,5994,creatina,1093,1,2623,1
05bf55b0,6186,creatina,0,0,1698,1
05bf55b0,6246,creatina,1093,854,214,1
05bf55b0,6761,creatina,2126,2304,337,1
05bf55b0,6770,monohidratada,2304,337,2041,1
05bf55b0,7144,creatina,247,2334,3093,1
05bf55b0,7272,creatina,163,890,2243,1
05bf55b0,8376,creatina,0,0,1233,1
05bf55b0,8385,monohidratada,0,1233,836,1
05bf55b0,9351,creatina,0,rdc,nº,1
05f2b50c,8,protein,0,0,whey,1
05f2b50c,16,iso,0,whey,protein,1
05f2b50c,26,iso,whey,protein,1809,1
05f2b50c,62,protein,rt,g,2173,1
05f2b50c,70,iso,g,2173,vitaforwhey,1
05f2b50c,80,iso,vitaforwhey,protein,1809,1
05f2b50c,90,iso,358,2138,1450,1
05f2b50c,112,iso,sofort,g,2173,1
05f2b50c,121,protein,3130,1134,2957,1
05f2b50c,130,iso,1134,2957,1507,1
05f2b50c,179,protein,3165,810,155,1
05f2b50c,231,protein,itindo,1954,2809,1
05f2b50c,273,protein,1921,824,1623,1
05f2b50c,300,whey,2582,1054,2945,1
05f2b50c,305,protein,1054,2945,890,1
05f2b50c,322,iso,1,358,2138,1
05f2b50c,325,protein,0,whey,protein,1
05f2b50c,353,protein,3130,1134,2957,1
05f2b50c,362,iso,1134,2957,1507,1
05f2b50c,456,protein,1763,890,1039,1
05f2b50c,463,protein,itindo,1954,2809,1
05f2b50c,465,iso,3023,890,1039,1
05f2b50c,505,protein,1921,824,1623,1
05f2b50c,532,whey,2582,1054,2945,1
05f2b50c,537,protein,1054,2945,890,1
05f2b50c,557,protein,0,whey,protein,1
05f2b50c,636,protein,logia,1322,890,1
05f2b50c,680,protein,porcionando,292,2222,1
05f2b50c,686,protein,1763,890,1039,1
05f2b50c,689,iso,292,2222,2013,1
05f2b50c,695,iso,3023,890,1039,1
05f2b50c,763,iso,ima,21,890,1
05f2b50c,774,iso,2222,890,2213,1
05f2b50c,788,iso,s,isofort,2304,1
05f2b50c,823,protein,2467,1134,2957,1
05f2b50c,832,iso,1134,2957,1455,1
05f2b50c,843,whey,rmulação,1,2582,1
05f2b50c,866,protein,logia,1322,890,1
05f2b50c,907,protein,0,g,2467,1
05f2b50c,910,protein,porcionando,292,2222,1
05f2b50c,919,iso,292,2222,2013,1
